Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Ireland,Price-Graham,1865,1997,Michelemouth,Barnett-Ruiz,Delacruz-Rice,Fusion,Operational,7344.521266,98697.59941,https://silva-knight.org/
Chad,Roberts and Sons,845,1976,Jessicamouth,"Mullen, Wise and Ortega","Williams, Merritt and Reyes",Nuclear,Planned,5709.802735,37433.63133,http://www.ortiz-monroe.com/
Guam,Norman Inc,660,1978,Nicoleview,Chavez Inc,Mcintyre-Harris,Fusion,Operational,6192.611293,83341.04143,https://giles.info/
Chad,"Pineda, Cummings and Olson",390,2005,New Davidchester,Fischer Ltd,Richardson-Davis,Fusion,Planned,5215.115914,91822.72734,https://lewis-cardenas.com/
Pakistan,Martin-Parker,833,2018,Smithbury,Hill-Dudley,Rivera LLC,Fusion,Under Construction,4989.38703,59497.36941,http://www.rivera-torres.net/
Malta,Mccann-Martin,1846,1974,South Seanville,"Moore, Cox and Miranda",Zamora-Lewis,Nuclear,Under Construction,1161.190819,79312.11231,http://johnston.com/
Niue,Green-Ramos,766,2019,Mariastad,Stevenson-Simon,Fletcher-Hill,Fusion,Operational,4379.677382,87587.12862,http://contreras-daniels.org/
Chile,Boyer-Warren,104,1975,Alexisshire,"Wilkerson, Jones and Cook",Lee-Barton,Fusion,Under Construction,9266.110003,68028.75283,http://www.hayden-rowe.com/
Myanmar,Ford-Ramirez,1003,2006,West Ana,Hudson-Chavez,Hansen Group,Nuclear,Operational,4306.093569,19279.1189,https://mitchell.net/
Taiwan,Allen PLC,465,2009,East Carrie,Kramer and Sons,Jones Inc,Nuclear,Under Construction,1874.272888,82573.6766,http://www.bell.com/
New Zealand,"Macias, Gardner and Dean",1225,2017,Chadview,"Barry, Johnson and Rodriguez","Medina, Strong and Robinson",Fusion,Operational,2413.551432,31014.83059,http://hull-kelly.net/
Algeria,"Montoya, Mccormick and Smith",1888,1974,Stevenside,Lambert LLC,"Mckinney, May and Jones",Nuclear,Operational,1587.99008,20744.59309,http://www.liu.com/
Venezuela,Jimenez-Fuller,1221,2021,Smithside,"Smith, Sims and Contreras","Peters, Gomez and Smith",Fusion,Planned,2825.1193,48361.89228,https://long.com/
Peru,Smith-Smith,1967,2019,South Michelleside,Ochoa Group,"Gomez, Matthews and Hernandez",Nuclear,Planned,3875.377038,64689.33858,https://www.melendez.com/
Malta,Robertson-Gonzalez,1021,1982,Vanessaberg,Wilson-Gonzalez,"Cook, Edwards and Morgan",Fusion,Operational,7439.579471,70042.41929,http://www.atkinson.com/
Tanzania,Peck-Brown,1912,1976,Johnsonshire,Holmes-Jones,Freeman-Brooks,Nuclear,Under Construction,7382.061952,66731.60501,https://www.myers-adams.com/
Vanuatu,Collins Ltd,1892,1986,North Jennifer,Harmon Inc,Bell-Johnson,Nuclear,Under Construction,2300.089342,50317.62169,http://tran-moore.net/
Malaysia,"Holland, Murray and Hernandez",586,1970,Lake Robert,Williams-Mendez,Ritter-Galloway,Fusion,Operational,3581.294493,36762.19329,https://rogers-chan.com/
Bermuda,"Atkinson, Graham and Zimmerman",1921,2005,Dawnburgh,"Weaver, Webb and Nichols","Anderson, Castillo and Harvey",Fusion,Under Construction,9990.264262,90079.81381,https://cannon-dickson.com/
Samoa,"Young, Williamson and Garcia",1825,2016,Costaville,Scott-Marks,Watson Group,Nuclear,Under Construction,1035.809969,26326.29898,http://www.young.biz/
Estonia,Lane-Taylor,341,1973,Alexisbury,Ortiz Group,Ray and Sons,Fusion,Under Construction,7821.214301,43308.89175,https://www.daniels-frederick.org/
Hungary,"Reid, Thompson and House",911,2022,Port Cynthiashire,"Duarte, Reynolds and Hodge",Daniels Inc,Nuclear,Operational,3774.883281,84894.94574,https://www.anderson.info/
Fiji,Hardin-Johnson,133,2004,Herringtown,Smith Inc,Reyes Ltd,Nuclear,Under Construction,5163.281237,79504.22874,https://foster.com/
Bahrain,"Brown, Bolton and Williams",1725,2001,South Reneemouth,"Perkins, Fisher and Martin",Hampton Group,Nuclear,Operational,3259.158744,62836.08077,https://snyder.org/
Uzbekistan,Thompson Inc,286,2001,Wardview,Durham-Tran,Gardner Inc,Fusion,Under Construction,8190.95877,36738.06575,http://www.benson-holt.org/
Faroe Islands,Ross LLC,523,2003,Richardchester,Murray PLC,"Valdez, Carpenter and Dillon",Nuclear,Under Construction,8689.761378,21934.5387,http://tran.com/
Nepal,Molina Inc,973,2018,Myerston,Lynn-Martin,"Romero, Evans and Roberts",Fusion,Planned,3482.191455,49863.13588,http://powers.com/
Marshall Islands,Bates LLC,1070,1999,Port Brett,"Pope, Smith and Garza","Sampson, Jimenez and Costa",Nuclear,Under Construction,493.3945472,42591.73323,https://koch-cole.org/
Netherlands,Green-Jackson,108,1994,South Eric,Sellers Group,Rojas Inc,Nuclear,Planned,6456.495694,58691.27381,https://www.barton.com/
Andorra,Lopez-Wright,639,1979,Cindystad,"Smith, Reid and Rasmussen",Castro-Juarez,Nuclear,Operational,8300.854357,50003.36955,http://cooper.com/
Romania,"Guzman, Williams and Brown",1050,1985,North Maria,"Johnson, King and Allen",Adams Group,Nuclear,Planned,7976.662215,77214.70588,https://www.hall.com/
San Marino,Vega Group,1942,1999,Thomasfort,Tanner-West,Mitchell Group,Fusion,Under Construction,5323.815838,40956.95051,http://www.kennedy-sparks.org/
Guinea,Zavala-Smith,1781,1973,East Abigailfurt,Hart-Diaz,"Wilson, Jackson and Gill",Nuclear,Planned,989.4680251,60614.94514,https://flynn.com/
Palestinian Territory,Powell LLC,597,2004,Warnerborough,Chavez-Santana,Gonzalez PLC,Nuclear,Planned,4905.068658,43622.9681,https://camacho.com/
Ukraine,Garrison PLC,434,1979,Hopkinsland,Martin-Vasquez,Sims Group,Fusion,Planned,9437.407045,54637.54809,http://barber-hayes.com/
Bangladesh,Marshall-Scott,1143,1987,North Colinmouth,Johnson Group,"Arias, Craig and Thompson",Fusion,Under Construction,8406.478046,14235.78445,https://www.fuller.net/
Bouvet Island (Bouvetoya),Miller Inc,1008,2001,North Jamesfurt,Jackson Ltd,Mcgee-Davis,Nuclear,Planned,7901.189981,92745.24863,https://hensley.com/
Australia,Gutierrez Inc,811,1971,Oliverstad,Valdez-Burns,Allen PLC,Nuclear,Operational,1900.807695,50765.51501,https://ramirez.com/
Ethiopia,Wright Inc,1101,2002,Virginiafurt,Jennings PLC,Huynh-Martinez,Fusion,Planned,1579.318069,90987.28995,http://trujillo-taylor.biz/
Portugal,Lester-Ballard,241,2013,Christophermouth,Cooper-Robinson,"Sparks, Wang and Robinson",Nuclear,Planned,624.708782,23117.96666,http://turner.com/
Burundi,Campbell LLC,1336,1976,Dustinshire,Brown-Townsend,"Hardy, Lopez and Gaines",Fusion,Operational,5047.643252,40696.52521,https://www.ramos.biz/
South Africa,Pena and Sons,1309,2013,East Nathan,"Clark, Harvey and Blackburn",Morris Group,Nuclear,Under Construction,9602.989759,81333.01903,http://woodward.com/
Philippines,Jackson-Clay,1035,2018,West Susan,"Carter, Perry and Dawson",Huff-Edwards,Fusion,Operational,1017.95739,87561.84434,http://becker.com/
Saint Barthelemy,Hill-King,1738,1999,North Brian,"Curry, Marquez and Gonzalez","Carpenter, Brown and Casey",Fusion,Operational,876.4565818,22847.92873,http://wilson-rowe.com/
Cameroon,Smith-Reyes,587,1992,Port Davidfort,Clark-King,Martinez-Jones,Fusion,Planned,2670.711382,42025.54446,https://www.ward-fry.com/
Finland,Smith-Powell,1003,2001,North Peter,Dennis LLC,Curtis PLC,Fusion,Planned,9847.038939,53693.76978,http://andrews.com/
Burundi,Johnson LLC,1859,2015,South Keith,Avery-Webster,Wang Group,Fusion,Operational,3067.879774,60781.52584,http://cooper.biz/
Malta,Lee Group,1541,2013,Buchananland,Oneal and Sons,"Chen, Moody and Rios",Fusion,Under Construction,7444.836876,26922.36938,https://www.barrett.com/
Poland,"Green, Smith and Esparza",314,1985,Laurenstad,"Harris, Foster and Castillo","Noble, Rich and Lee",Nuclear,Under Construction,1174.827192,48563.52461,http://walker-peterson.com/
Guatemala,Williams PLC,123,1999,Port Jeffrey,Powers Ltd,"Burns, Payne and Medina",Fusion,Under Construction,5381.095244,53037.28708,http://humphrey-cochran.biz/
Cameroon,"Figueroa, Whitaker and Jones",909,1970,South Davidberg,Roberts-Jackson,"Evans, Andrews and Jones",Nuclear,Under Construction,5838.221226,44518.00885,http://www.beard-avery.net/
Myanmar,Edwards-Kidd,1809,2019,Jimenezview,Mcmillan-Bean,Lowe Ltd,Nuclear,Planned,5680.928545,23469.35533,https://ford.biz/
Christmas Island,Carey Group,994,1990,Millerborough,Brown Group,Mccormick-Ingram,Nuclear,Under Construction,4071.084851,37420.22376,http://www.reeves-bonilla.info/
Mongolia,Perry LLC,1503,2004,East Jonathanhaven,Jenkins LLC,Smith and Sons,Nuclear,Planned,8495.39292,48517.6541,https://bright.biz/
Eritrea,Martin and Sons,1253,1974,Reyesfurt,Jackson-Daniels,"Daugherty, Randolph and Alvarado",Fusion,Planned,4216.527578,81742.30165,https://austin-wilson.com/
Germany,Hicks PLC,647,2020,Davidchester,Moran-Richardson,"Hall, Miller and Cunningham",Fusion,Under Construction,4860.470472,45598.43661,http://yoder-cook.com/
Saint Helena,Stewart-Moore,586,1975,Youngfurt,Young Group,Mcgee-Serrano,Fusion,Under Construction,6762.920316,54988.09447,https://blair.com/
British Virgin Islands,"Lowe, Sampson and Flowers",1130,2010,Matthewmouth,Andrews and Sons,Martinez-Young,Fusion,Under Construction,3186.611821,28059.19622,https://www.odom-berry.com/
Russian Federation,Valentine-Bowman,566,1991,Harrisonborough,Johnson Inc,"Smith, Hampton and Martin",Fusion,Operational,7196.460015,85975.97765,http://www.white.com/
Myanmar,"Reynolds, Gentry and Patel",125,1995,West Brian,Wells-Patel,"Brown, Riley and Klein",Nuclear,Planned,5644.359362,18832.18655,https://gordon.com/
Cote d'Ivoire,Smith-Butler,1519,2020,East Rebecca,"Murray, Salazar and Lane",Benjamin-Calhoun,Fusion,Planned,6562.746509,94629.36987,http://www.gonzalez.com/
Bhutan,"King, Buck and Williams",451,2017,Halemouth,Lee PLC,"Snyder, Mendoza and Smith",Fusion,Planned,9494.039049,73027.73923,http://www.chandler-ortiz.com/
Jersey,Fischer Inc,1417,2011,Andremouth,Allen-Thompson,"Nelson, Mitchell and Olson",Fusion,Under Construction,823.8525799,52301.27732,http://ewing.biz/
Senegal,"Watson, Wiggins and Wall",1715,1975,Keithview,Murray-Alvarez,Skinner and Sons,Nuclear,Operational,6325.205095,25819.32984,http://clay.info/
Burundi,Nichols Group,1709,1980,Nicholasmouth,Perkins-Franklin,Sullivan-Brewer,Fusion,Planned,486.7077914,40782.10688,https://www.lee.com/
Bolivia,Jackson-Villanueva,996,1972,Jenkinsburgh,Dyer-Brown,"Castro, Oconnor and Scott",Nuclear,Planned,9121.47569,99075.27333,http://roberts.info/
Argentina,Hughes Ltd,1019,1978,Port Jonathanfurt,Griffin and Sons,Rodriguez Group,Fusion,Planned,5507.307888,41390.26239,https://shannon-brown.com/
Belarus,"Kent, Alvarez and Clark",309,1974,Scottfort,"Hale, Salas and Stevens",Wise-Smith,Fusion,Planned,4778.072579,88521.72394,https://stokes.com/
Mexico,"Turner, Reed and Hernandez",1311,2022,West Robertberg,Yates-Richardson,Thomas Group,Nuclear,Planned,1115.776863,66849.22571,http://andersen.net/
Cyprus,Bradford-Hawkins,375,1989,West Michaelburgh,Peterson PLC,"Decker, Mckinney and Webb",Fusion,Operational,7119.759829,15027.98564,https://day.com/
Myanmar,Pena Inc,234,1996,Lichester,Lawson Ltd,Aguirre LLC,Fusion,Under Construction,2786.200365,42189.03957,https://clark.org/
Japan,Howard Inc,1813,1971,Smithstad,"Garcia, Jensen and Gutierrez",Diaz PLC,Fusion,Operational,3512.763586,87731.37986,https://brown.info/
Thailand,Young-Morales,865,2006,Romeroview,"Smith, Reynolds and Crawford","Miller, Hunter and Jones",Fusion,Operational,8299.538252,97288.15817,http://lee.com/
Saint Lucia,"Cox, Small and Bradley",543,2011,West Katherine,Arellano LLC,Williams-Campos,Fusion,Operational,2896.508985,30368.56015,https://www.jensen-ford.biz/
Italy,Heath-Moore,1468,1981,Bullockchester,"Watson, Ward and Anderson",Allen PLC,Nuclear,Under Construction,965.5174936,77877.48897,http://www.reed.com/
Andorra,Evans and Sons,684,2001,Tylerfurt,"Casey, Ortiz and Powell",Martinez-Burch,Nuclear,Operational,7865.158667,95423.1582,http://patterson.biz/
United States Virgin Islands,"Walsh, White and Matthews",623,1996,Stephanieland,"Gonzalez, Coleman and Maldonado","Fletcher, Wood and Steele",Nuclear,Under Construction,3013.847886,26603.24937,http://www.myers.com/
Bhutan,"Oliver, Walton and Hess",1640,1990,North Scott,"Hernandez, Miller and Herrera",Evans LLC,Fusion,Operational,9276.227598,11419.63798,http://gonzalez-hughes.com/
Georgia,Rodriguez Inc,701,1972,Crystalhaven,Shaw PLC,Mendez-Giles,Fusion,Operational,9186.20442,10121.86867,http://roman.org/
Saint Pierre and Miquelon,Campbell-Sawyer,1877,1981,New Victor,"Harrison, Gray and Brooks","Cooper, Arroyo and Hanson",Fusion,Planned,1921.197077,75092.97143,http://www.fitzpatrick-johnson.com/
Fiji,Smith-Wu,379,1975,North Joshua,Miller-Molina,Keller-Murphy,Fusion,Planned,1803.22711,74158.90095,https://bryant.com/
Germany,Mills Inc,108,1976,Smithmouth,Galvan-Williams,White PLC,Fusion,Operational,8436.747995,73357.20976,https://rodriguez.com/
Seychelles,Melendez-Haynes,1085,2006,West Coreyland,Barker LLC,"Bullock, Smith and Sampson",Fusion,Planned,8108.939712,25963.20954,https://www.howard.org/
Barbados,Harris-Mata,1789,1976,Snyderton,Osborne and Sons,"Knight, Barnes and Lewis",Nuclear,Operational,2068.410236,57680.65973,http://ramos.org/
Saudi Arabia,Cordova-Garcia,748,2015,Simpsonborough,Bryant-Parks,Ramirez and Sons,Fusion,Planned,554.870974,45675.10425,http://www.mack-phillips.com/
South Georgia and the South Sandwich Islands,Morales-Beck,1045,1986,East Elizabeth,Phillips-Conrad,White LLC,Fusion,Planned,2291.588434,23006.56996,https://www.holmes.com/
Turks and Caicos Islands,"Mitchell, Hill and Sullivan",1869,1983,Bakerborough,Jackson PLC,"Mills, Kelley and Boyd",Nuclear,Planned,8592.198166,45443.2314,http://glover.com/
Kazakhstan,Harris and Sons,107,1994,Harrischester,"Smith, Levine and Murray",Edwards-Higgins,Fusion,Operational,9512.010415,89041.9469,http://www.gray-smith.com/
France,Hayden-West,145,1997,West Brett,Smith-Jenkins,Avila PLC,Fusion,Operational,3314.516285,21617.54182,https://hicks-gonzalez.biz/
Lebanon,"Castaneda, Schmidt and Gardner",168,1972,Kristinborough,Garner Ltd,Walton-Baker,Nuclear,Under Construction,948.3175112,15738.62366,http://lewis.com/
Georgia,Jones and Sons,509,1995,East Loriberg,"Sandoval, Torres and Hall",Tran LLC,Nuclear,Operational,6627.665156,79740.66817,https://www.yates.com/
Mali,Jones-Joseph,1228,2004,Patriciatown,"Holt, Bradford and Smith","Williams, Riley and Wilson",Fusion,Under Construction,4474.490591,75640.99203,http://www.kaiser-smith.com/
American Samoa,Nicholson Ltd,388,1995,Foleyberg,Hernandez-Campbell,Alexander-Duran,Nuclear,Operational,8826.830214,15095.15552,https://www.williams-lee.info/
Australia,"Ruiz, Green and Nixon",1037,2005,Taylorland,Nolan-Phillips,"Rodriguez, Williams and Turner",Fusion,Operational,5160.925373,78816.04346,http://www.brown.com/
Philippines,"Lopez, Merritt and Phillips",1275,2013,New Sarah,George-Garcia,Pearson PLC,Nuclear,Under Construction,2900.156993,74783.24738,https://www.jones-nelson.com/
Panama,Wilson-Evans,1249,1977,North Craig,Greene-Deleon,"Clark, Scott and Ryan",Fusion,Under Construction,3624.851848,39626.21873,https://www.bowman.com/
Mongolia,Zimmerman-Camacho,1128,1992,South Eric,Chase-Clark,Acosta Ltd,Nuclear,Under Construction,9942.39922,11913.71552,https://www.frost.com/
French Guiana,Hurley-Nelson,138,1973,Jimmyfort,Martin LLC,"Wolf, Cummings and Frazier",Fusion,Planned,3084.256304,99347.06175,http://manning.org/
Saint Helena,Hall Ltd,1591,1979,North Jeffery,Davis-Boyer,"Mcintosh, Lee and Bryant",Fusion,Planned,8849.424372,73010.16859,http://www.larson.com/
Cyprus,Gomez LLC,1041,1982,Port Jon,Wilson-Rivera,"Salazar, Adams and Morales",Nuclear,Under Construction,8002.303923,58900.89113,http://www.lewis.com/
Turkmenistan,"Perez, Figueroa and Allen",533,1979,New Andrew,Barton Ltd,"Williams, Wilson and Williams",Nuclear,Under Construction,8520.795818,76201.90959,https://www.medina.com/
Czech Republic,"Simpson, Cook and Hernandez",857,2022,Andrewview,Walter-Potter,Cordova and Sons,Nuclear,Operational,1626.608454,35085.52688,https://www.russell-howard.biz/
Kuwait,Nelson-Becker,1643,1978,Bethmouth,Wyatt LLC,"Mckay, Martinez and Ellis",Fusion,Planned,8906.104078,85234.94037,http://www.williams-hutchinson.com/
Nigeria,Cunningham PLC,1478,1980,Moorefort,Stevens-Ashley,Roman Inc,Fusion,Under Construction,7047.574917,16363.65217,https://www.wagner-martinez.biz/
Ireland,Francis-Kelly,578,1992,New Shane,Smith Ltd,Strickland-Martinez,Nuclear,Under Construction,3269.065307,75315.66681,https://www.yang-wade.com/
Fiji,"Chung, Hill and Martinez",1752,1983,Mayberg,"Jenkins, Young and Campbell",Graham LLC,Nuclear,Planned,6099.418345,13115.47391,https://valentine.org/
Bosnia and Herzegovina,Orr-Watts,1954,1976,Stephenville,Hodges and Sons,"Jackson, Olson and White",Nuclear,Planned,401.695815,80163.58349,http://www.snyder-vasquez.com/
Iraq,Smith-Lawrence,1158,2021,West Paulmouth,Howard-Lewis,Beard-Rodriguez,Nuclear,Operational,6306.390725,99907.33668,https://www.mullins.com/
Denmark,Leonard Group,1875,2001,Bethton,Perry and Sons,"Sims, Vazquez and Holland",Nuclear,Operational,6098.209866,35994.97719,https://www.willis.biz/
Saint Martin,"Tran, Davis and Brown",1867,1997,Smithmouth,"Little, Moore and Howard",Foster Inc,Fusion,Operational,5320.736304,21590.22453,https://www.williams-jones.com/
Netherlands Antilles,Wolfe PLC,1565,1984,West Phillipfort,Rodgers and Sons,Johnson-Johnson,Fusion,Planned,6262.403369,36433.87492,http://goodman.com/
Myanmar,"Nunez, Gallagher and Fernandez",954,1989,New Ashley,Mccarty-Brown,Brown-Martin,Fusion,Operational,7611.534735,73263.44951,http://scott.com/
Colombia,Clarke and Sons,1698,2001,Marissaville,Gonzalez-Brown,"Cline, Powell and Keller",Nuclear,Planned,6298.047276,73109.04287,https://ali.org/
Guyana,Lewis Group,974,2012,Lake Brett,Graves-Hernandez,Smith-Cooper,Fusion,Planned,3566.848346,18675.45676,http://www.williams.com/
Greece,Gibson-Miller,1524,2018,Danielleview,Knight-Landry,Grant-Bates,Fusion,Planned,6144.110856,20310.83151,https://www.beasley.com/
Bulgaria,Thompson-Perry,141,2007,Jacobfurt,Henry-Anderson,Hall-Adams,Nuclear,Planned,3898.307396,83882.34909,http://www.conner.com/
Cook Islands,Mcbride and Sons,677,2009,North Zachary,"Smith, Floyd and Holmes",Meadows Ltd,Nuclear,Operational,6306.10992,28575.87675,https://www.cross-smith.com/
Kiribati,Bishop and Sons,982,2017,North Lisa,"Carpenter, Nguyen and Flores",Wilkerson Group,Fusion,Operational,5053.635497,12938.40691,https://kelley.com/
Kyrgyz Republic,Cooper Group,1481,2007,East Donald,Kirk-Thomas,Davis-Davis,Fusion,Planned,2616.795145,88018.76493,http://www.tucker-villarreal.com/
Pitcairn Islands,"Underwood, Carter and Mccarthy",1273,1979,Cruzfurt,"Mueller, Hamilton and Nelson",Evans-Williams,Nuclear,Planned,3025.38457,84500.1434,https://sutton-lowe.info/
Hong Kong,"Gross, Blair and Fleming",1259,1998,New Brenda,"Kelley, Valdez and Dean",Morrow Group,Nuclear,Planned,7933.921995,75029.76699,https://meyer.info/
Japan,Ray-Williams,216,1974,Garrettstad,Brown-Barnett,"Stevens, Dunn and Sanders",Nuclear,Under Construction,5948.870891,40082.46242,http://schmidt.info/
Monaco,Owens-Hansen,1962,2023,South Mary,Briggs-Russell,Johnson Ltd,Fusion,Planned,1404.447644,25469.27612,https://www.murray-hanson.biz/
Sao Tome and Principe,Wilson LLC,136,1984,Gwendolynberg,Miller and Sons,Barker Ltd,Nuclear,Under Construction,3391.767812,69206.17752,https://www.cook.net/
Kiribati,Miller Ltd,1375,2008,Port Holly,"Green, Gould and Morales",Williams Inc,Nuclear,Under Construction,7554.785914,83551.33583,http://www.gomez.biz/
Malawi,Miller Inc,461,1990,Perezport,"Frey, King and Mendoza","Cooper, Nicholson and Sanchez",Fusion,Planned,1247.53715,26891.87718,https://cruz-price.com/
China,Lewis LLC,271,1995,Websterside,"Martinez, Smith and Robertson","Silva, Mclean and Baker",Nuclear,Operational,6885.0306,11899.35002,https://brown.net/
New Zealand,"Hernandez, Knight and Hall",1800,2019,North Spencerhaven,Davis Ltd,"Matthews, Anderson and Burke",Fusion,Operational,9152.902744,36144.2669,http://kerr.org/
Uzbekistan,Tran Inc,1022,2015,Port Ginachester,"Perez, Hopkins and Obrien",Jones-Griffin,Nuclear,Planned,4307.377232,97625.81325,https://becker-schaefer.biz/
Bulgaria,Gordon-Griffin,1660,2014,Port Vanessatown,Barajas Group,Fleming-Munoz,Fusion,Planned,1823.351338,20579.82828,https://www.johnson.com/
Comoros,Martin LLC,784,1989,New Bryan,"Martin, Buchanan and Miller",Wood Ltd,Fusion,Operational,9486.439788,14642.25934,https://martin.com/
Palestinian Territory,Williams Inc,389,1972,North Brianburgh,Wright-Cook,Valencia-Rodriguez,Fusion,Planned,7682.975107,17176.52116,https://hughes.com/
British Virgin Islands,Hudson and Sons,1782,2015,Mitchelltown,"Hawkins, Butler and Cummings",Smith Inc,Fusion,Operational,4968.858188,34843.31569,http://www.bell.com/
Puerto Rico,"Hernandez, Spencer and Wilson",1580,1983,New Dawn,"Sims, Barnes and Roach","Shannon, Paul and Wang",Fusion,Planned,9652.002193,34175.18564,http://www.bowman-schwartz.com/
Tanzania,"Cunningham, Banks and Montes",964,2020,East Patriciafurt,Martinez-Hess,"Nguyen, Waller and Lawrence",Fusion,Operational,9703.25859,90810.31185,http://www.ramirez.org/
Morocco,Ball-Vargas,1125,1971,West Sandra,Torres-Rivas,Trujillo LLC,Fusion,Planned,4192.098999,86368.49862,http://www.williams.net/
Cook Islands,"Navarro, Garcia and Gross",791,2011,Lisaport,Murphy-Harrington,"Gross, Diaz and Lowe",Nuclear,Planned,876.1394167,54899.90833,https://santiago-bowman.com/
Kenya,"Gonzalez, Lawson and Rodriguez",541,2019,Lake Thomasland,"Merritt, Cooper and Mitchell",Anderson LLC,Nuclear,Planned,4583.758179,67875.15553,http://www.riddle.net/
Vanuatu,Meza-Burton,1843,2002,Michaeltown,"Silva, Bauer and Barker","Ruiz, Stewart and Meadows",Nuclear,Under Construction,9289.187809,27403.27553,http://www.nelson.net/
Heard Island and McDonald Islands,James-Phillips,1067,2015,Johnsonbury,"Watson, Armstrong and Fletcher","Bowen, Fuentes and Fowler",Nuclear,Planned,6885.668161,41179.0901,http://klein-parrish.net/
Central African Republic,Peterson-Gibson,1619,1973,East Jonathon,Thomas-Hall,Figueroa-Hughes,Nuclear,Under Construction,4554.590668,55450.48547,http://www.harris.info/
Canada,Donaldson-Williams,1994,1980,South Donna,Robinson and Sons,Watkins-Williams,Nuclear,Operational,6346.995947,66923.01687,http://perry-parsons.com/
